study name,persona specification,specification_name_full,ran_date,variable name,correlation between the responses from humans vs. their twins,CI_lower,CI_upper,z-score for correlation between humans vs. their twins,accuracy between humans vs. their twins,mean_human,mean_twin,paired t-test t-stat,paired t-test p-value,std_human,std_twin,variance test F-stat,variance test p-value,effect size based on human,effect size based on twin,domain=social?,domain=cognitive?,replicating know human bias?,preference measure?,stimuli dependent?,knowledge question?,political question?,sample size
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,job1_item3,0.1278725087562366,0.0663748235178891,0.1884023716310817,4.0578024673733815,0.8268268268268268,4.782782782782783,4.942942942942943,-3.5061602470626068,0.000474843781435,1.3760999840840986,0.646981388899954,4.5239354946924495,2.220446049250313e-16,0.1105587060245721,-0.0906696797991605,1,0,0,1,1,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,job1_item4,0.1198050579912289,0.0582135152788381,0.1804880030974118,3.799231063452828,0.8331664998331665,4.753753753753754,4.803803803803804,-1.1664755294282076,0.2437008988911502,1.251621562812185,0.6931858038526693,3.260218842497694,2.220446049250313e-16,0.3052997904493998,0.0087152131994016,1,0,0,1,1,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,job1_item5,0.1525762400287963,0.0914172426827247,0.2125885441067199,4.853121019514416,0.8401735068401734,4.967967967967968,4.693693693693693,6.853322744249672,1.2614597171929091e-11,1.1839672850374934,0.6611690853246606,3.206670429567221,2.220446049250313e-16,0.0436829119025267,-0.0652005398888015,1,0,0,1,1,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,job1_item6,0.1309714331794468,0.0695119901359384,0.191440404484659,4.15726902707049,0.8226559893226559,5.103103103103103,4.67967967967968,10.004498216487294,1.6068482018776494e-22,1.2536041748633615,0.6590646629560808,3.6179687067038584,2.220446049250313e-16,0.1303948496751437,-0.0291554388455169,1,0,0,1,1,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,job1_item7,0.0891437964164853,0.0272704607059981,0.1503366909214178,2.8208186496068373,0.8213213213213213,4.875875875875876,4.618618618618618,5.762743597732025,1.1020757874556082e-08,1.31227006139616,0.6484865173772959,4.094911680667058,2.220446049250313e-16,0.257341074546785,-0.0151417835456009,1,0,0,1,1,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,job1_item8,0.0200298873443576,-0.0420464643588404,0.0819521910473713,0.6322171389918554,0.7449115782449116,4.632632632632633,4.707707707707708,-1.224561323650431,0.2210295170642628,1.496882590973151,1.2608847335395876,1.409368959234454,6.460456258849946e-08,0.3996673373472291,0.134467818811954,1,0,0,1,1,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,job2_item1,0.1657831146582975,0.104836990507003,0.2254886321377815,5.28076554436831,0.7273940607273941,3.1831831831831834,3.647647647647648,-7.374886642323065,3.452561065162107e-13,1.829253896295345,1.144811407301897,2.5531720472898924,2.220446049250313e-16,-0.1603172112186942,-0.2140487300999936,1,0,0,1,1,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,job2_item2,0.0907395523220825,0.0288779628018762,0.1519087197585632,2.871590587488546,0.7265598932265599,3.5155155155155153,4.573573573573573,-18.50716141027072,5.686887930918933e-66,1.662840818805842,0.8739966147001699,3.619777305076287,2.220446049250313e-16,-0.1283317564804649,-0.1981704304860046,1,0,0,1,1,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,job2_item3,0.1632376562982563,0.1022487756790151,0.2230039306645574,5.1981975924408115,0.8471805138471805,4.7957957957957955,5.03003003003003,-5.859555991470791,6.298764742454439e-09,1.223657229936183,0.5724985662128165,4.568469758730857,2.220446049250313e-16,-0.3196618393078725,-0.1890616413398413,1,0,0,1,1,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,job2_item4,0.1518072456553212,0.0906365371575422,0.2118367679049834,4.828276508421277,0.8443443443443444,4.862862862862863,4.993993993993994,-3.3216449886942847,0.0009273421871831,1.1937597483941165,0.5870717762803572,4.134770967929692,2.220446049250313e-16,-0.1846449147483718,-0.184950034622375,1,0,0,1,1,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,job2_item5,0.1679735880000489,0.10706491870678,0.22762620003832,5.351876061686987,0.8595261928595261,4.994994994994995,4.888888888888889,2.902108182473646,0.003788103795785,1.0951592224054978,0.5961354053482195,3.374929440718915,2.220446049250313e-16,-0.0567110176204452,-0.2077374601749252,1,0,0,1,1,0,0,999
hiring algorithms,with_reasoning,with_reasoning_2025-08-01,2025-08-01,job2_item6,0.1809035749388823,0.120228468695922,0.2402321932755482,5.77275295303842,0.8393393393393394,5.173173173173173,4.885885885885886,7.322748303443977,4.998268360880022e-13,1.1974593349081035,0.6047498952978135,3.9207571593907184,2.220446049250313e-16,-0.2187640000241823,-0.1947215679521341,1,0,0,1,1,0,0,999
