test_column,n_valid_points,calibrated_correlation,calibrated_current_accuracy,calibrated_standardized_accuracy,calibrated_wasserstein_distance,calibrated_std_ratio,calibrated_mean_difference,calibrated_cohens_d,calibrated_n_points,calibrated_human_std,original_correlation,original_current_accuracy,original_standardized_accuracy,original_wasserstein_distance,original_std_ratio,original_mean_difference,original_cohens_d,original_n_points,original_human_std,fit_r2,fit_adj_r2,fit_mse,fit_rmse,fit_f_stat,fit_f_pvalue,fit_residual_std,fit_n_significant_coefs,fit_n_features,fit_n_samples
job4_item3,999,0.7342889450379875,0.9014729436578939,0.8948010266258117,0.046253630973536054,0.8492879169445562,0.013709253015661135,0.07469330615103964,999,0.03163859985841663,0.11906060046364414,0.8420086753420086,0.7987346707654462,0.08224891558224894,0.540215261805195,0.01451451451451454,0.09128392716044217,999,0.03163859985841663,0.8464175961408028,0.8330335086585199,0.06315646832399421,0.25130950703066174,63.240590534187525,1.1102230246251565e-16,0.25130950703066174,18,80,999
job4_item4,999,0.760133862873863,0.9086033446134147,0.903958723958153,0.04120140236143379,0.8882574375190637,0.0018381831726704452,0.010102569131306688,999,0.03163859985841663,0.1378357793288262,0.8428428428428428,0.8016810645427863,0.08141474808141475,0.5573101042673625,0.0003336670003336965,0.0021425326447885125,999,0.03163859985841663,0.8977049802300885,0.8887903815573294,0.04233349076320682,0.20575104073420095,100.70054897403904,1.1102230246251565e-16,0.20575104073420095,17,80,999
job4_item6,999,0.7708603822397324,0.9101294868759039,0.9048849976777817,0.03907830026899369,0.9009728215278051,0.012162447378030924,0.06395130684771495,999,0.03163859985841663,0.11223215847050878,0.8241574908241575,0.7875822700287096,0.1031031031031031,0.5500319957455878,0.06973640306973634,0.4324567066621019,999,0.03163859985841663,0.8821940108532972,0.8719276937163296,0.05122950022468329,0.22633934749548804,85.93091359672113,1.1102230246251565e-16,0.22633934749548804,8,80,999
job4_item8,999,0.5106108794371512,0.8358795540938758,0.8285189420843233,0.10148354442421588,0.6216822713372251,0.06858343997668441,0.3627574006346591,999,0.03163859985841663,0.08929026949320767,0.7926259592926259,0.7583122644882634,0.10827494160827493,0.5829273585690321,0.08024691358024683,0.43178033623430406,999,0.03163859985841663,0.5831573117689478,0.5468311515745206,0.26291971189175434,0.5127569715681634,16.05337059154438,1.1102230246251565e-16,0.5127569715681634,8,80,999
choice_target_binary,501,0.03662509536957706,0.439416331234472,0.43734503107724043,0.28440437554919196,0.9813694523350311,0.02691830364407133,0.05469557086081374,501,0.04467670516087703,0.029119951991000165,0.530938123752495,0.4816805807875575,0.09381237524950098,0.959730364579175,0.09381237524950103,0.19269093025136466,501,0.04467670516087703,0.3178056292562246,0.18786384435264836,0.15505591153394763,0.39377139501739794,2.445753915817405,4.974061829088328e-09,0.3937713950173979,9,80,501
Q33,200,-0.04587518849817627,0.4699111839306601,0.5827903791321507,0.17969903399453224,1.5120950205933212,0.09282704489921094,0.20107677130487014,200,0.07071067811865475,-0.26906703732578263,0.49416666666666664,0.5106548876906398,0.1841666666666667,1.0628425051452346,0.18416666666666673,0.49557362283667816,200,0.07071067811865475,0.48511317755590555,0.1389707759128168,2.7157061841285706,1.6479399819558267,1.4014844042600454,0.047025628678018516,1.6479399819558267,6,80,200
Q35,200,0.11961728448258263,0.4879156452926344,0.605420343783392,0.25376674805730187,1.5824960445359437,0.08403693899162024,0.17456283524609284,200,0.07071067811865475,0.28481693785834666,0.69,0.6898290409897658,0.03666666666666666,1.0478094616399491,0.029999999999999954,0.0805397343864219,200,0.07071067811865475,0.4399183230699447,0.06339282597410922,2.928093004948406,1.711167146993071,1.1683626380233532,0.218888221798743,1.711167146993071,4,80,200
Q38,200,0.36636065638230375,0.6506413124004922,0.6753210768602094,0.1279612299602993,1.1407200838425193,0.10073883419503993,0.26101796354140844,200,0.07071067811865475,0.3118123023978774,0.6791666666666667,0.693170749545724,0.16083333333333333,1.0274090054310505,0.1608333333333333,0.4409249321081736,200,0.07071067811865475,0.847379103570519,0.7447768202565823,0.7507994223727781,0.8664868275818035,8.258871793113565,1.1102230246251565e-16,0.8664868275818034,3,80,200
PPV,1200,0.06108871681588991,0.655784634637324,0.6079578783730966,0.23880676154070554,0.41499148052250157,0.1944916062422207,0.7153814843796455,1200,0.028867513459481284,0.5863371724273994,0.7477777777777778,0.7541144329532272,0.21083333333333334,0.7548753633819285,0.2108333333333333,0.6701206986472604,1200,0.028867513459481284,0.07640606569362018,0.010376115072967429,2.389362522052992,1.5457562945215497,1.1571425538779982,0.1692134235931575,1.54575629452155,6,80,1200
I_indiv_mean,1323,0.241056768261144,0.8751837336092498,0.8751059724960139,0.04725540948012379,0.8911429152819297,0.04710797310890039,0.3813344599791669,1323,0.02749286996141075,0.502464929955836,0.8739229024943311,0.8995045879264998,0.08369866465104563,0.9960493829788893,0.08274124464600634,0.6356297165486723,1323,0.02749286996141075,0.5072390736433628,0.4754992394174925,0.08293631661093644,0.287986660473947,15.981150690129468,1.1102230246251565e-16,0.287986660473947,21,80,1323
Q_indiv_mean,1323,0.2930388510348355,0.8640190828153396,0.8764843399086337,0.08590232823342746,0.828334223820569,0.08561816963729654,0.700594534515214,1323,0.02749286996141075,0.5283467012795321,0.907859683035327,0.9001186869514651,0.021932270175829893,0.8073713762965745,0.00515470304697494,0.04261532944608635,1323,0.02749286996141075,0.4791636465828667,0.4456154112580917,0.06907136211437051,0.26281431109125414,14.282827157499051,1.1102230246251565e-16,0.26281431109125414,12,80,1323
Q_org_mean,1323,0.5558025387420885,0.8003533658345203,0.8815288810927755,0.18867322334027778,0.8173763172450266,0.1886732233402778,1.2864580035030784,1323,0.02749286996141075,0.28936960293055686,0.845912968361948,0.8479220942318396,0.09923334413130333,0.7275769778491317,0.09091890724543783,0.647433374149625,1323,0.02749286996141075,0.5430764770389771,0.5136450101815844,0.09980621102645082,0.31592121015603053,18.452239559461976,1.1102230246251565e-16,0.3159212101560306,6,80,1323
scenario_close_QI,1323,-0.0009399886025366884,0.5790105321330208,0.42797724214077193,0.4073651147887927,0.07231911976952432,0.4071148113952382,1.169393287433333,1323,0.02749286996141075,0.007456491456465676,0.5941043083900226,0.5031270007115105,0.40438397581254726,0.0791166683854778,0.40438397581254726,1.1609549794626812,1323,0.02749286996141075,0.15337671166369404,0.098843810643642,0.001277919024243168,0.03574799328973821,2.8125536840098966,4.75175454539567e-14,0.03574799328973821,19,80,1323
gratitude_manipulation_check,508,0.43302657431671565,0.7960847437749105,0.7929172781926321,0.10632426991177475,0.8690719264129619,0.07029990617180355,0.2996176427843131,508,0.04436782547080569,0.4202919207328364,0.788167104111986,0.8052071801351334,0.13396762904636922,0.7696431893038451,0.11975065616797886,0.5358523408166794,508,0.04436782547080569,0.6306983794005524,0.5615083802250118,0.49399141759770243,0.7028452301877721,9.11545580164585,1.1102230246251565e-16,0.7028452301877722,8,80,508
lack of control,492,0.15369952742064935,0.8366098720722647,0.8428354131151248,0.0973200499759914,0.8549366025499068,0.0973200499759914,0.676123942367458,492,0.045083481733371615,0.5336962856862837,0.8695689861310378,0.8836474236449114,0.0745964849354376,0.9554997973469883,0.07459648493543757,0.4929753760370498,492,0.045083481733371615,0.4014693337247549,0.28496701425512083,0.29170664144046377,0.5400987330483786,3.4460200925819033,2.220446049250313e-16,0.5400987330483786,47,80,492
lack_of_control_manipulation_check,492,0.09094484727187453,0.78870854927434,0.7871819317812677,0.07770741146891738,0.8829732151134242,0.06963955526107372,0.35768159704968416,492,0.045083481733371615,0.43350270371207944,0.8500451671183379,0.8375654436256619,0.03929539295392954,0.8049994333955196,0.022131887985546477,0.11812547817302564,492,0.045083481733371615,0.4238493226286639,0.31170320537876883,0.5725928693982947,0.7566986648582741,3.779438227756034,1.1102230246251565e-16,0.7566986648582741,4,80,492
Father education,1163,-0.024402093903986313,0.6993858217562727,0.6408848152343071,0.1466676069667431,0.5552625936693572,0.10557971110510067,0.42192111052839476,1163,0.02932311763539111,0.23987270618460987,0.7505374032674119,0.7163188050821774,0.1269346517626827,0.7173010410499759,0.07276440240756643,0.2702642187600266,1163,0.02932311763539111,0.22190935087233643,0.1643795431734334,2.45261105283543,1.5660814323768193,3.857293457919341,1.1102230246251565e-16,1.5660814323768193,11,80,1163
Redistribution 1,1163,0.4483021328835092,0.6812342328568697,0.7324280994408259,0.1180919930255798,1.3126888269041332,0.02992659669854425,0.0801403239433099,1153,0.02945000320268802,0.6319724987566453,0.7918473547267997,0.8009958381971832,0.08369470945359929,1.2466616932947403,0.03555941023417175,0.09832404647971128,1153,0.02945000320268802,0.7531688084405904,0.7349188127615214,0.6253425240623911,0.7907860166077743,41.269533521281815,1.1102230246251565e-16,0.7907860166077743,19,80,1163
Redistribution 2,1163,0.31086735558763445,0.636096495131705,0.6857698663736805,0.1696634776792202,1.1539091875040246,0.1629020501223396,0.4431551986844322,1144,0.02956561979945413,0.6008199994086876,0.7609265734265734,0.7734398402938246,0.11625874125874128,1.1468246324615843,0.11538461538461542,0.314992797555836,1144,0.02956561979945413,0.715071462013759,0.6940046569870499,0.6927221054580925,0.8322992883921579,33.94304267339874,1.1102230246251565e-16,0.8322992883921579,13,80,1163
task 2 - S2,1001,0.28001218244784837,0.7793058469017011,0.7743635897421518,0.038543741611287714,0.9355571926073037,0.021491858243436617,0.0934445187004265,1001,0.0316069770620507,0.5397029625388067,0.7986180486180486,0.8214092614109225,0.10148185148185147,1.0409426311651893,0.10148185148185156,0.41859753212670464,1001,0.0316069770620507,0.5480066920465357,0.5087029261375389,0.9947070404764637,0.9973500090121139,13.942854568068078,1.1102230246251565e-16,0.9973500090121139,10,80,1001
task 2 - S3,1001,-0.06736114020647806,0.7670497462486073,0.7210925262337184,0.10082175154721235,0.5765678012415242,0.015527636077949788,0.07781468943664317,1001,0.0316069770620507,0.06600670535776275,0.7741425241425242,0.7460188033161671,0.06451881451881451,0.7509094296260278,0.013403263403263402,0.06199967917443576,1001,0.0316069770620507,0.26471721689477046,0.20077958358127224,0.8920824139309149,0.9445011455424048,4.140241093954983,1.1102230246251565e-16,0.9445011455424048,7,80,1001
task 3 - S1,1001,0.14401454279473852,0.7200669867134223,0.6788617079324818,0.12765707707472568,0.6311691180552157,0.07388896148747522,0.2834519246708827,1001,0.0316069770620507,0.09949825595332884,0.6898101898101898,0.6608526422441328,0.1526806526806527,0.7367008521686313,0.12570762570762573,0.4591224307040468,1001,0.0316069770620507,0.5151459251948363,0.47298470129873504,0.9206672895978586,0.9595140903592081,12.21847654290875,1.1102230246251565e-16,0.9595140903592082,6,80,1001
task 3 - S2,1001,0.16503747643722885,0.7176170832890658,0.6863452130853033,0.17258262085871653,0.5344949273896094,0.11696764238384423,0.47929438076862635,1001,0.0316069770620507,0.11706449092646995,0.7206127206127206,0.6756765903552753,0.12753912753912755,0.6202869007163238,0.08391608391608389,0.3313313015066012,1001,0.0316069770620507,0.4567744097539458,0.4095374019064628,0.697092187629194,0.8349204678466051,9.6698421548791,1.1102230246251565e-16,0.8349204678466051,9,80,1001
task 3 - S3,1001,0.1701596222945511,0.7123483545279538,0.6702245309706096,0.14845537777974396,0.5792959477699859,0.08683356824773525,0.33286486756558953,1001,0.0316069770620507,0.14616826178896133,0.6951381951381952,0.6685970345317152,0.13336663336663337,0.7521835612513008,0.11738261738261735,0.4155796620279113,1001,0.0316069770620507,0.29928203538611386,0.23835003846316727,1.4544260989488131,1.2059958950795866,4.9117385035744014,1.1102230246251565e-16,1.2059958950795866,4,80,1001
Fake3_3,1003,0.6348271559222765,0.7916963076042551,0.7824470518678964,0.08837518353126586,0.8190111401990576,0.03736752037953508,0.1229712071836418,1003,0.03157544889753363,0.19104556694663252,0.7056829511465603,0.6590176211240442,0.09212362911266202,0.746302820065619,0.0063808574277168795,0.021752436235361647,1003,0.03157544889753363,0.6477238216445228,0.6171575588804901,0.5421832054562628,0.7363309075791011,21.190808527848496,1.1102230246251565e-16,0.7363309075791011,9,80,1003
Fake5_3,1003,0.4754011986844454,0.7242218438240924,0.7314084091331035,0.2186693166722809,0.4927548883007743,0.20674164004507473,0.7659460106357568,1003,0.03157544889753363,0.1302099302648308,0.689332003988036,0.6572476271563454,0.2472582253240279,0.44155786031365707,0.24725822532402794,0.9342083658797303,1003,0.03157544889753363,0.4979647462581319,0.4544042036341087,0.28690309517087065,0.5356333589040835,11.431555170378173,1.1102230246251565e-16,0.5356333589040835,15,80,1003
